sample	technology	project	path
HG00438	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200710_174426.ccs.bam
HG00438	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200711_235708.ccs.bam
HG00438	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200713_062240.ccs.bam
HG00438	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200714_124814.ccs.bam
HG00438	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram
HG00438	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00438/raw_data/Illumina/child/HG00438.final.cram.crai
HG00621	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m64136_200710_174522.ccs.bam
HG00621	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m64136_200711_235843.ccs.bam
HG00621	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m64136_200713_062514.ccs.bam
HG00621	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m64136_200714_125149.ccs.bam
HG00621	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/Illumina/child/HG00621.final.cram
HG00621	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/Illumina/child/HG00621.final.cram.crai
HG00673	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_HiFi/m64043_200716_182902.ccs.bam
HG00673	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_HiFi/m64043_200718_004213.ccs.bam
HG00673	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_HiFi/m64043_200719_070806.ccs.bam
HG00673	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/PacBio_HiFi/m64043_200720_133355.ccs.bam
HG00673	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/child/HG00673.final.cram
HG00673	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/child/HG00673.final.cram.crai
HG00735	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_HiFi/m64043_200702_173033.ccs.bam
HG00735	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_HiFi/m64043_200703_234328.ccs.bam
HG00735	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_HiFi/m64043_200705_060840.ccs.bam
HG00735	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00735/raw_data/PacBio_HiFi/m64043_200706_123423.ccs.bam
HG00735	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/child/HG00735.final.cram
HG00735	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00673/raw_data/Illumina/child/HG00735.final.cram.crai
HG00741	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_HiFi/m64136_200625_174949.ccs.bam
HG00741	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_HiFi/m64136_200627_000247.ccs.bam
HG00741	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_HiFi/m64136_200628_062837.ccs.bam
HG00741	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/PacBio_HiFi/m64136_200629_125431.ccs.bam
HG00741	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/Illumina/child/HG00741.final.cram
HG00741	Illumina	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00741/raw_data/Illumina/child/HG00741.final.cram.crai
HG01071	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_HiFi/m64136_200702_173125.ccs.bam
HG01071	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_HiFi/m64136_200703_234438.ccs.bam
HG01071	PacBio	HPRC	 https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG01071/raw_data/PacBio_HiFi/m64136_200705_061033.ccs.bam
